support,itemsets
0.024774525228798725,"frozenset({'/history/apollo/images', '/facilities', '/shuttle/technology/sts-newsref'})"
0.024774525228798725,"frozenset({'/history/apollo/images', '/shuttle/missions', '/shuttle/missions/51-l'})"
0.02470804618077869,"frozenset({'/shuttle/missions/sts-69', '/history/apollo/images', '/shuttle/missions/sts-70', '/shuttle/technology/sts-newsref'})"
0.024663726815432004,"frozenset({'/shuttle/resources/orbiters', '/shuttle/missions/sts-69', '/shuttle/countdown', '/history/apollo/images', '/shuttle/missions'})"
0.024508609036718594,"frozenset({'/shuttle/resources/orbiters', '/shuttle/missions/sts-70', '/shuttle/missions'})"
0.02448644935404525,"frozenset({'/shuttle/missions/sts-71', '/history'})"
0.024464289671371906,"frozenset({'/shuttle/missions/sts-69', '/shuttle/missions/sts-70', '/shuttle/missions/sts-71'})"
0.024353491258005185,"frozenset({'/shuttle/missions/sts-69', '/history/apollo/images', '/shuttle/countdown', '/shuttle/technology/images'})"
0.024309171892658497,"frozenset({'/shuttle/resources/orbiters', '/shuttle/missions', '/history'})"
0.024309171892658497,"frozenset({'/facilities', '/history'})"
0.02426485252731181,"frozenset({'/history', '/history/apollo/images', '/shuttle/countdown', '/shuttle/missions'})"
0.02422053316196512,"frozenset({'/history/apollo/images', '/history/apollo/apollo-13', '/facilities'})"
0.024131894431271745,"frozenset({'/history/apollo', '/history', '/shuttle/missions/sts-69', '/history/apollo/images'})"
0.024131894431271745,"frozenset({'/shuttle/missions/sts-78', '/shuttle/missions'})"
0.02406541538325171,"frozenset({'/shuttle/missions', '/facts'})"
0.02404325570057837,"frozenset({'/history/apollo', '/shuttle/missions/sts-69', '/history/apollo/images', '/shuttle/countdown'})"
0.024021096017905023,"frozenset({'/shuttle/missions', '/shuttle/missions/sts-1'})"
0.023865978239191614,"frozenset({'/shuttle/resources/orbiters', '/facilities', '/shuttle/missions'})"
0.02384381855651827,"frozenset({'/history/apollo/images', '/history/apollo/apollo-13', '/shuttle/missions/sts-69'})"
0.02384381855651827,"frozenset({'/shuttle/missions/sts-69', '/shuttle/missions/sts-73', '/shuttle/missions'})"
0.023777339508498238,"frozenset({'/shuttle/missions/sts-69', '/history/apollo/images', '/shuttle/missions/sts-73'})"
0.023710860460478204,"frozenset({'/history/apollo/images', '/shuttle/missions/sts-1'})"
0.023644381412458174,frozenset({'/elv/TITAN'})
0.02357790236443814,"frozenset({'/shuttle/missions/sts-69', '/shuttle/resources/orbiters', '/shuttle/technology/sts-newsref'})"
0.023533582999091453,"frozenset({'/elv/TITAN', '/elv'})"
0.02346710395107142,"frozenset({'/shuttle/technology/images', '/history/apollo/images', '/shuttle/countdown', '/shuttle/technology/sts-newsref'})"
0.02342278458572473,"frozenset({'/shuttle/resources/orbiters', '/history/apollo/images', '/shuttle/missions/sts-71'})"
0.02342278458572473,"frozenset({'/shuttle/missions/sts-71', '/history/apollo/images', '/shuttle/countdown', '/shuttle/missions'})"
0.023378465220378043,"frozenset({'/shuttle/missions/sts-71', '/shuttle/missions/sts-70', '/shuttle/missions'})"
0.023223347441664634,"frozenset({'/shuttle/missions/sts-70', '/shuttle/countdown', '/shuttle/technology/sts-newsref'})"
